Model,experiment_1,experiment_2,experiment_3,Mean,Std
RandomForest,0.0004063519753722942,0.0003156182657777338,0.0002987018984097513,0.00034022404651992645,4.726674731041544e-05
GradientBoosting,0.002658395579423247,0.002579254794119941,0.002646643700068821,0.0026280980245373363,3.486901714794311e-05
DeepLearning,0.15132116015792932,0.14474459756124072,0.09508963327128929,0.13038513033015312,0.025101684915177034
