,mean,std,min,max
RandomForest,0.00032589720731948294,1.1306414579871188e-18,0.00032589720731948153,0.0003258972073194843
GradientBoosting,0.00034039627268171816,0.0,0.00034039627268171816,0.00034039627268171816
Ridge,0.0004214096492363621,5.421010862427522e-20,0.000421409649236362,0.000421409649236362
Lasso,0.07792998744060747,0.0,0.07792998744060747,0.07792998744060747
KNN,0.24708436046885363,0.0,0.24708436046885363,0.24708436046885363
SVM,0.06304149622702086,0.0,0.06304149622702086,0.06304149622702086
DeepLearning,0.05483205392863457,0.009822681736187206,0.04727275840119253,0.06870478858796066
